id,parent_id,name,name_en,area
10,,กรุงเทพมหานคร,BANGKOK,1568.95
11,,สมุทรปราการ,SAMUT PRAKAN,960.09
12,,นนทบุรี,NONTHABURI,633.25
13,,ปทุมธานี,PATHUM THANI,1520.06
14,,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,2534.07
15,,อ่างทอง,ANG THONG,948.68
16,,ลพบุรี,LOP BURI,6290.8
17,,สิงห์บุรี,SING BURI,831.57
18,,ชัยนาท,CHAI NAT,2463.64
19,,สระบุรี,SARABURI,3504.53
20,,ชลบุรี,CHON BURI,4469.4
21,,ระยอง,RAYONG,3711.09
22,,จันทบุรี,CHANTHABURI,6367.85
23,,ตราด,TRAT,2889.18
24,,ฉะเชิงเทรา,CHACHOENGSAO,5238.31
25,,ปราจีนบุรี,PRACHIN BURI,4983.17
26,,นครนายก,NAKHON NAYOK,2143.23
27,,สระแก้ว,SA KAEO,6899.52
30,,นครราชสีมา,NAKHON RATCHASIMA,20708.17
31,,บุรีรัมย์,BURI RAM,10128.03
32,,สุรินทร์,SURIN,8855.55
33,,ศรีสะเกษ,SI SA KET,8933.23
34,,อุบลราชธานี,UBON RATCHATHANI,15641.28
35,,ยโสธร,YASOTHON,4127.36
36,,ชัยภูมิ,CHAIYAPHUM,12674.12
37,,อำนาจเจริญ,AMNAT CHAROEN,3272.03
38,,บึงกาฬ,NONG KHAI,4019.12
39,,หนองบัวลำภู,NONG BUA LAMPHU,4134.4
40,,ขอนแก่น,KHON KAEN,10643.38
41,,อุดรธานี,UDON THANI,11094.85
42,,เลย,LOEI,10573.95
43,,หนองคาย,NONG KHAI,3231.45
44,,มหาสารคาม,MAHA SARAKHAM,5625.61
45,,ร้อยเอ็ด,ROI ET,7859.19
46,,กาฬสินธุ์,KALASIN,6934.46
47,,สกลนคร,SAKON NAKHON,9578.46
48,,นครพนม,NAKHON PHANOM,5563.74
49,,มุกดาหาร,MUKDAHAN,4188.93
50,,เชียงใหม่,CHIANG MAI,22060.57
51,,ลำพูน,LAMPHUN,4480.18
52,,ลำปาง,LAMPANG,12505.1
53,,อุตรดิตถ์,UTTARADIT,7842.27
54,,แพร่,PHRAE,6474.05
55,,น่าน,NAN,12251.47
56,,พะเยา,PHAYAO,6099.92
57,,เชียงราย,CHIANG RAI,11587.71
58,,แม่ฮ่องสอน,MAE HONG SON,12736.16
60,,นครสวรรค์,NAKHON SAWAN,9504.41
61,,อุทัยธานี,UTHAI THANI,6651.92
62,,กำแพงเพชร,KAMPHAENG PHET,8619.16
63,,ตาก,TAK,17241.82
64,,สุโขทัย,SUKHOTHAI,6689.36
65,,พิษณุโลก,PHITSANULOK,10612.84
66,,พิจิตร,PHICHIT,4320.79
67,,เพชรบูรณ์,PHETCHABUN,12421.4
70,,ราชบุรี,RATCHABURI,5179.39
71,,กาญจนบุรี,KANCHANABURI,19422.04
72,,สุพรรณบุรี,SUPHAN BURI,5406.44
73,,นครปฐม,NAKHON PATHOM,2140.8
74,,สมุทรสาคร,SAMUT SAKHON,864.14
75,,สมุทรสงคราม,SAMUT SONGKHRAM,409.05
76,,เพชรบุรี,PHETCHABURI,6165.56
77,,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,6437.23
80,,นครศรีธรรมราช,NAKHON SI THAMMARAT,9861.78
81,,กระบี่,KRABI,4869.32
82,,พังงา,PHANGNGA,4106.74
83,,ภูเก็ต,PHUKET,553.51
84,,สุราษฎร์ธานี,SURAT THANI,13183.9
85,,ระนอง,RANONG,3245.17
86,,ชุมพร,CHUMPHON,5997.03
90,,สงขลา,SONGKHLA,7857.23
91,,สตูล,SATUN,2711.39
92,,ตรัง,TRANG,4882.19
93,,พัทลุง,PHATTHALUNG,3764.62
94,,ปัตตานี,PATTANI,1953.05
95,,ยะลา,YALA,4482.17
96,,นราธิวาส,NARATHIWAT,4483.92
1001,10,พระนคร,Phra Nakhon,6.24279066223
1002,10,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,2.88261379915
1003,10,สัมพันธวงศ์,Samphanthawong,1.63374256398
1004,10,ปทุมวัน,Pathum Wan,9.29330504082
1005,10,บางรัก,Bang Rak,4.63468609846
1006,10,ยานนาวา,Yannawa,14.4052641028
1007,10,สาทร,Sa Thon,8.595907991939999
1008,10,บางคอแหลม,Bang Kho Laem,9.46722807932
1009,10,ดุสิต,Dusit,13.1177413919
1010,10,บางซื่อ,Bang Su,15.2311977335
1011,10,พญาไท,Phaya Thai,10.5083871414
1012,10,ราชเทวี,Rat Thewi,8.35015942863
1013,10,ห้วยขวาง,Huai Khwang,18.9386975998
1014,10,ดินแดง,Din Daeng,9.86531608561
1015,10,พระโขนง,Phra Khanong,15.5346961336
1016,10,คลองเตย,Khlong Toei,15.3199771025
1017,10,ประเวศ,Prawet,62.2654349816
1018,10,สวนหลวง,Suan Luang,27.9459526084
1019,10,บางเขน,Bang Khen,47.182370570399996
1020,10,ดอนเมือง,Don Maung,41.9506553115
1021,10,จตุจักร,Chatuchak,37.5985045141
1022,10,บางกะปิ,Bang Kapi,31.9006417364
1023,10,ลาดพร้าว,Lat Phrao,24.1319571915
1024,10,บึงกุ่ม,Bung Kum,27.0840114254
1025,10,หนองจอก,Nong Chok,272.047508558
1026,10,มีนบุรี,Min Buri,70.69581342929999
1027,10,ลาดกระบัง,Lat Krabang,144.394665665
1028,10,ธนบุรี,Thon Buri,9.85335746938
1029,10,คลองสาน,Khlong San,6.89703959778
1030,10,บางกอกน้อย,Bangkok Noi,14.251012364900001
1031,10,บางพลัด,Bang Phlat,13.7115489849
1032,10,บางกอกใหญ่,Bangkok Yai,7.22605888867
1033,10,ภาษีเจริญ,Phasi Charoen,21.949661128
1034,10,บางขุนเทียน,Bang Khun Thian,148.034985401
1035,10,จอมทอง,Chom Thong,26.3293623821
1036,10,ตลิ่งชัน,Taling Chan,41.4766447449
1037,10,ราษฎร์บูรณะ,Rat Burana,14.5758391254
1038,10,หนองแขม,Nong Khaem,41.6821191738
1039,10,วัฒนา,Watthana,14.9293293157
1040,10,บางแค,Bang Khae,55.3202307536
1041,10,หลักสี่,Lak Si,26.545110254900003
1042,10,สายไหม,Sai Mai,49.804675976000006
